title,publication_date,source,country,summary,url,language
Trump pleads not guilty to 34 felony counts,N/A,CNN (USA),United States,N/A,https://edition.cnn.com/webview/politics/live-news/trump-indictment-stormy-daniels-news-04-03-23/index.html,Unknown
What to know about the Trump indictment on the eve of his court appearance,"Wed, 05 Apr 2023 22:50:06 GMT",CNN (USA),United States,N/A,https://www.cnn.com/collections/intl-trump-040223/,Unknown
READ: Trump indictment related to hush money payment,N/A,CNN (USA),United States,N/A,https://cnn.it/411KYN7,Unknown
Russian authorities detain suspect over St. Petersburg cafe blast,N/A,CNN (USA),United States,N/A,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html,Unknown
"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says","Mon, 03 Apr 2023 13:58:58 GMT",CNN (USA),United States,N/A,https://www.cnn.com/collections/intl-ukraine-030423/,Unknown
Hundreds of millions at risk from Chinese shopping app malware,N/A,CNN (USA),United States,N/A,https://cnn.it/40OSomK,Unknown
Papa Francesco e la sua papalina,"Mon, 21 Apr 2025 16:01:58 +0200",ANSA (Italy),Italy,,https://www.ansa.it/sito/photogallery/primopiano/2025/04/21/papa-francesco-e-la-sua-papalina-_b7e8b5d8-0464-4f36-b020-139fae4de219.html,Unknown
"PRIME PAGINE | Addio a Bergoglio, l'argentino che rivoluzionò la Chiesa","Tue, 22 Apr 2025 08:01:55 +0200",ANSA (Italy),Italy,,https://www.ansa.it/sito/podcast/ansa_voice_daily/2025/04/22/prime-pagine-addio-a-bergoglio-largentino-che-rivoluziono-la-chiesa_98b92892-bf8c-4d38-b860-fa2aabb4b9ff.html,Unknown
Sigilli nell'appartamento papale nel Palazzo Apostolico,"Tue, 22 Apr 2025 08:19:29 +0200",ANSA (Italy),Italy,,https://www.ansa.it/sito/videogallery/italia/2025/04/22/sigilli-nellappartamento-papale-nel-palazzo-apostolico_3c6ea8f8-b150-4459-9a80-ac0d7da869c2.html,Unknown
Uovo,"Sat, 19 Apr 2025 13:11:05 +0200",ANSA (Italy),Italy,,https://www.ansa.it/sito/podcast/la_parola_della_settimana/2025/04/19/uovo_5e181d07-db23-4491-b3de-e5613605e28d.html,Unknown
"FOCUS | E' morto il ""papa della gente"", il racconto della vaticanista dell'ANSA","Mon, 21 Apr 2025 15:01:10 +0200",ANSA (Italy),Italy,,https://www.ansa.it/sito/podcast/ansa_voice_daily/2025/04/21/focus-e-morto-il-papa-della-gente-il-racconto-della-vaticanista-dellansa_99625b27-538c-4243-b193-0454321f9546.html,Unknown
Xi-style diplomacy brings China closer to world,2017-12-11T14:39:19.000+0000,China Daily (China),China,,http://www.chinadaily.com.cn/a/201712/11/WS5a2e9898a3103f77d55ac36d.html,Unknown
15032,"Mon, 21 Apr 2025 18:15:38 GMT",Tehran Times (Iran),Iran,,https://www.tehrantimes.com/news/512142/15032,Unknown
